f107_d1,f107_d2,f107_d3,f107_d4,f107_d5,f107_d6,f107_d7,f107_d8,f107_d9,f107_d10,f107_d11,f107_d12,f107_d13,f107_d14,f107_d15,f107_d16,f107_d17,f107_d18,f107_d19,f107_d20,f107_d21,f107_d22,f107_d23,f107_d24,f107_d25,f107_d26,f107_d27,ap_d1,ap_d2,ap_d3,ap_d4,ap_d5,ap_d6,ap_d7,ap_d8,ap_d9,ap_d10,ap_d11,ap_d12,ap_d13,ap_d14,ap_d15,ap_d16,ap_d17,ap_d18,ap_d19,ap_d20,ap_d21,ap_d22,ap_d23,ap_d24,ap_d25,ap_d26,ap_d27,kp_d1,kp_d2,kp_d3,kp_d4,kp_d5,kp_d6,kp_d7,kp_d8,kp_d9,kp_d10,kp_d11,kp_d12,kp_d13,kp_d14,kp_d15,kp_d16,kp_d17,kp_d18,kp_d19,kp_d20,kp_d21,kp_d22,kp_d23,kp_d24,kp_d25,kp_d26,kp_d27,issued_utc
90.0,88.0,86.0,84.0,82.0,82.0,80.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,80.0,82.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,5.0,5.0,5.0,8.0,10.0,5.0,5.0,5.0,10.0,5.0,10.0,15.0,12.0,15.0,8.0,10.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2020-11-09T00:00:00Z
115.0,113.0,113.0,113.0,110.0,105.0,103.0,95.0,95.0,92.0,88.0,85.0,85.0,82.0,82.0,82.0,82.0,85.0,90.0,100.0,105.0,105.0,108.0,110.0,110.0,110.0,115.0,5.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,20.0,8.0,5.0,5.0,8.0,10.0,8.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2020-11-30T00:00:00Z
82.0,83.0,83.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,85.0,84.0,83.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,5.0,5.0,5.0,8.0,5.0,5.0,12.0,15.0,12.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2020-12-14T00:00:00Z
74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,75.0,75.0,75.0,75.0,75.0,75.0,8.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2021-01-11T00:00:00Z
73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,74.0,73.0,18.0,12.0,8.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,16.0,12.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2021-02-01T00:00:00Z
73.0,74.0,74.0,73.0,73.0,73.0,74.0,70.0,74.0,76.0,72.0,71.0,72.0,70.0,71.0,72.0,71.0,73.0,76.0,75.0,76.0,78.0,81.0,80.0,80.0,79.0,78.0,18.0,15.0,8.0,5.0,5.0,15.0,5.0,5.0,5.0,5.0,5.0,15.0,10.0,5.0,15.0,8.0,5.0,18.0,20.0,20.0,18.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2021-03-01T00:00:00Z
78.0,78.0,78.0,78.0,77.0,77.0,76.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,80.0,81.0,82.0,82.0,82.0,81.0,80.0,80.0,12.0,5.0,5.0,8.0,18.0,18.0,18.0,12.0,8.0,5.0,5.0,5.0,5.0,25.0,20.0,20.0,10.0,5.0,15.0,8.0,5.0,5.0,5.0,5.0,15.0,18.0,20.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2021-03-15T00:00:00Z
78.0,75.0,75.0,72.0,70.0,70.0,70.0,70.0,68.0,68.0,68.0,68.0,68.0,68.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,75.0,75.0,75.0,75.0,75.0,75.0,12.0,8.0,5.0,5.0,8.0,12.0,5.0,5.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,15.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,12.0,20.0,30.0,15.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,2021-04-19T00:00:00Z
77.0,77.0,76.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,8.0,8.0,15.0,10.0,7.0,7.0,5.0,5.0,5.0,5.0,8.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2021-08-23T00:00:00Z
90.0,90.0,90.0,90.0,92.0,90.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,88.0,88.0,88.0,88.0,86.0,90.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2021-09-06T00:00:00Z
